Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;TMSTC*;4;261,74083688930375;0,13910761154855644
10;5;MSTC*;2;447,2842712474621;0,07874015748031496
10;5;TMSTC*;2;441,1708513561276;0,08136482939632546
10;5;MSTC*;4;255,09725822732042;0,1837270341207349
10;5;TMSTC*;4;267,62669547884326;0,2388451443569554
10;5;MSTC*;2;432,45656564184196;0,06036745406824147
10;5;TMSTC*;2;444,21284267603335;0,09448818897637795
10;5;MSTC*;4;254,19884556939806;0,1784776902887139
10;5;TMSTC*;4;265,14141410460473;0,25196850393700787
10;5;MSTC*;2;432,5987012655729;0,047244094488188976
10;5;TMSTC*;2;439,51399710663526;0,08923884514435695
10;5;MSTC*;4;273,8115439416061;0,23097112860892388
10;5;TMSTC*;4;266,9558441227157;0,2204724409448819
10;5;MSTC*;2;446,7408368893041;0,07611548556430446
10;5;TMSTC*;2;435,12813851709575;0,07349081364829396
10;5;MSTC*;4;256,6981240502719;0,1994750656167979
10;5;TMSTC*;4;261,29898987322326;0,22572178477690288
10;5;MSTC*;2;448,1554112112403;0,07611548556430446
10;5;TMSTC*;2;450,4691197102251;0,08661417322834646
10;5;MSTC*;4;249,48383833598612;0,15485564304461943
10;5;TMSTC*;4;258,54126980077945;0,2073490813648294
10;5;MSTC*;2;435,09942278469913;0,06299212598425197
10;5;TMSTC*;2;446,87041844465193;0,08923884514435695
10;5;MSTC*;4;257,42784990944523;0,2073490813648294
10;5;TMSTC*;4;257,78499276658806;0,1994750656167979
10;5;MSTC*;2;432,67012983700164;0,05774278215223097
10;5;TMSTC*;2;427,58542567806387;0,06036745406824147
